AnonymousID,HotelInncode,HotelBrand,HotelChainScale,Generation,Department,FullTimePartTime,Tenure,ManagementLevel,WorkLifeBalance,LearningDevelopment,Communication,Voice,RewardsBenefits,WorkEnvironment,IntentToStay
28613,100303,4,3,2,2,1,7,3,5,5,5,5,5,5,1
39566,100155,6,3,2,21,1,7,2,5,5,5,3,5,5,1
37507,100215,6,3,2,15,1,8,2,5,2.33,4,3.5,4.5,4.25,0
17979,100103,4,3,1,20,1,2,4,4,3.67,4,4,3.5,4,0
39600,100144,3,2,1,9,1,1,2,5,4.67,3.67,4,5,5,1
17622,100179,4,3,3,21,1,8,2,5,5,5,5,5,5,1
3824,100132,6,3,1,5,0,5,2,4,3.33,3.33,3,3.5,4,1
22987,100123,3,2,2,12,1,5,1,4.5,5,5,5,5,5,1
34296,100082,3,2,2,21,1,8,2,5,5,5,5,5,5,1
3679,100211,6,3,1,12,0,7,4,4,4,4,4,4,4,0
37382,100243,11,4,2,21,1,3,1,5,5,4.33,4.5,5,5,1
9239,100252,6,3,2,5,0,7,2,5,5,5,5,5,5,1
22631,100180,6,3,2,7,1,7,1,4.5,4.33,5,4.5,4.5,4,0
15104,100064,6,3,1,6,1,4,1,4,4.33,5,4,4.5,4.75,1
19128,100237,6,3,3,35,1,5,2,4,4.67,5,4,4.5,4.25,1
1706,100254,2,3,1,1,1,6,1,4.5,5,5,5,5,5,1
13379,100210,6,3,3,10,1,8,2,5,4,4,4,4,4,1
39365,100223,6,3,1,20,1,6,4,4,3.67,3.67,1,3.5,4.5,0
2684,100146,2,3,3,21,1,8,4,3,2.67,3.33,3.5,3.5,3.25,0
10753,100172,6,3,3,2,1,5,3,2,4,5,4.5,4.5,4,1
20444,100215,6,3,2,21,1,4,2,5,4.67,5,5,4.5,4.5,0
23480,100204,4,3,1,21,1,6,4,3.5,3.67,4.33,4.5,3.5,4,0
24478,100150,3,2,3,21,1,8,2,5,5,5,5,5,5,1
13032,100096,5,1,3,21,1,5,4,3.5,4.33,4.67,4,4.5,4.25,0
37181,100243,11,4,2,28,1,5,1,5,5,5,5,5,5,1
1165,100248,8,1,2,21,1,2,2,3.5,3.67,3.67,4,3.5,4,0
23592,100281,6,3,1,25,1,6,2,5,5,4,5,5,4,0
34318,100147,6,3,1,28,1,5,2,4.5,1,5,3,4,2.75,0
6715,100237,6,3,2,21,1,7,1,5,5,5,5,5,5,1
22680,100078,11,4,3,6,0,6,1,3.5,2.67,3,3.5,3,2.75,0
38803,100243,11,4,2,8,1,8,4,4.5,3,3,4,4,3.75,0
18229,100131,4,3,2,7,1,4,3,5,4.33,5,5,5,5,1
29869,100281,6,3,2,21,1,6,4,5,4,3.67,3.5,5,5,1
35712,100222,6,3,3,7,1,7,2,5,5,5,5,5,5,1
33594,100143,11,4,1,16,1,2,2,4.5,4.67,3.33,5,5,4.25,0
15694,100131,4,3,2,28,1,5,1,5,5,5,5,5,5,1
37779,100133,3,2,3,5,1,8,2,4.5,3.67,4,4,3.5,3.75,1
22780,100064,6,3,2,1,1,7,1,2.5,3.67,5,4.5,4.5,4.75,1
31554,100286,3,2,1,5,0,5,2,5,5,4.67,5,5,5,1
28254,100222,6,3,2,23,1,7,2,2,2,2,2,3,2,0
17121,100298,4,3,3,21,1,7,2,4,5,4,4.5,4.5,5,1
2001,100168,6,3,3,21,1,7,2,4,4,4,4,4,4.25,1
20306,100219,11,4,2,21,1,6,2,5,5,5,5,5,5,1
28019,100208,1,4,1,13,1,7,3,4,4,4,4,4,4,0
10569,100191,4,3,2,21,1,5,2,4,3.67,4.33,4,3.5,3.75,0
22441,100174,4,3,3,21,1,8,2,3,3,2.67,2.5,2.5,2.25,0
26634,100065,6,3,3,21,1,8,2,4,3,4,4,4,3.75,1
8564,100246,3,2,1,16,1,4,3,5,5,5,5,5,5,1
36035,100129,6,3,3,5,1,8,2,4,4,4,3,4,4,1
23709,100302,4,3,1,16,1,5,1,5,5,5,5,5,5,1
29184,100228,6,3,3,13,1,8,4,1,4,1,1,2.5,1.75,0
35268,100223,6,3,3,12,1,7,2,4,4,4,4,4,4,0
4819,100110,3,2,1,5,0,7,2,4,2,4,3,3.5,4,0
15186,100127,6,3,3,23,1,8,2,4,3.67,4,4,4,4,1
18970,100207,4,3,2,21,1,4,2,4,3.67,4,3.5,3.5,3.75,0
6223,100211,6,3,2,16,1,8,2,4,4.33,4,4,4,4.75,0
10320,100212,6,3,2,21,1,3,2,5,5,5,5,5,5,1
37766,100087,6,3,2,21,1,7,2,5,5,4,4,4,4.25,0
38982,100208,1,4,2,21,1,5,2,5,5,2,4,3.5,2.5,0
37716,100186,9,2,2,16,1,4,1,4,4,4,4,3.5,4,0
33801,100123,3,2,2,22,1,8,1,4,5,5,5,5,5,1
39046,100180,6,3,2,16,1,4,2,4,3,2.67,3,3,3.5,0
33296,100272,6,3,2,9,1,8,4,5,4.33,5,4,4,5,1
39834,100243,11,4,2,35,1,6,2,4.5,2.33,3.33,2.5,3,4,0
12986,100254,2,3,1,20,1,6,1,3,2.33,3,2.5,3,3.25,0
22503,100164,11,4,2,21,1,8,2,5,5,5,5,5,4.25,1
17475,100252,6,3,1,21,1,6,4,4.5,4,5,5,4.5,4.25,1
20298,100186,9,2,3,12,0,8,2,4.5,3.33,3.67,4,4,4.25,0
38287,100286,3,2,1,28,1,6,1,4.5,5,4.33,3.5,5,4.5,1
19489,100234,11,4,1,25,1,6,1,5,5,5,5,5,5,1
12991,100262,3,2,2,5,0,8,2,5,3,3.67,3,4,3.5,0
17709,100281,6,3,3,21,1,8,2,5,4.33,5,5,4.5,4.75,1
38775,100222,6,3,3,13,1,8,1,5,4.67,5,5,5,5,1
35303,100199,6,3,2,21,1,7,1,5,5,5,4,5,4.75,0
36166,100197,6,3,3,21,1,8,1,3.5,4,4,4,4,4,0
7287,100237,6,3,3,21,1,8,2,5,5,5,5,5,5,1
18761,100195,4,3,2,21,1,2,2,5,3.67,5,4,4.5,4.5,1
17997,100212,6,3,1,28,1,2,1,3.5,4,3,3.5,4.5,4.75,0
35510,100211,6,3,2,21,1,8,2,4,4,4,3,3.5,3.75,0
35670,100078,11,4,1,28,1,8,1,5,5,5,5,5,5,1
30338,100254,2,3,1,38,0,5,2,5,5,5,5,4.5,4.75,1
8967,100237,6,3,3,30,0,8,2,5,5,5,5,5,4.75,1
6921,100145,1,4,1,13,1,4,2,5,4.67,4.33,5,5,5,0
38448,100217,6,3,2,2,1,7,1,5,5,5,5,5,5,1
10060,100212,6,3,3,25,1,8,2,4,3.67,5,2.5,4,4.5,0
6468,100175,11,4,2,7,1,5,2,4,3,3.67,4,2.5,4.25,0
4670,100273,6,3,3,21,1,8,4,3,3.33,3,3,3,3,0
4318,100120,5,1,1,21,1,4,1,4,4,4,3.5,5,4.5,1
23513,100146,2,3,3,25,1,8,2,5,5,5,5,5,5,1
31710,100278,6,3,1,2,1,4,3,4.5,5,5,5,5,4.25,1
35155,100200,11,4,3,29,1,7,1,4,4,4,5,3.5,4.25,0
21666,100142,3,2,1,28,1,5,2,5,5,2.33,3.5,4.5,4.5,0
35000,100238,6,3,3,21,1,8,2,3.5,2,4,3.5,3,2.75,1
26898,100227,6,3,1,5,0,5,4,3.5,3.33,5,1,3,2.25,0
34551,100278,6,3,1,15,1,4,2,2.5,3.33,4,3,2.5,3.75,0
31370,100237,6,3,1,8,0,6,2,4.5,3,4.67,3.5,4,4.25,1
2128,100189,6,3,1,21,1,6,2,5,5,5,5,5,5,1
26849,100209,10,5,2,20,1,8,3,5,4.67,4.33,4.5,5,5,1
32018,100064,6,3,1,8,1,6,2,5,4.33,4,4.5,4.5,4.75,1
20979,100234,11,4,1,13,1,6,4,4,3.67,4,2.5,3,3.75,0
37074,100211,6,3,2,34,1,8,2,4.5,5,4.67,5,4,4.75,1
4796,100223,6,3,1,19,0,2,2,5,4.67,4,5,5,4.75,0
19579,100259,6,3,1,21,1,5,4,2.5,2.67,4.67,3,3.5,4,0
31210,100081,4,3,3,16,0,7,2,5,4.67,3,5,5,4.75,1
4968,100229,4,3,1,21,1,6,2,4,3.67,3.67,2.5,3.5,3.75,0
13988,100177,3,2,1,12,1,7,2,5,5,4,5,5,5,0
38724,100168,6,3,3,21,1,8,1,4,4,4,3.5,4,4,0
35477,100129,6,3,1,21,1,6,2,2.5,2.67,2,3.5,4.5,4.25,0
7018,100222,6,3,2,3,1,3,1,5,4.33,5,5,4,5,0
31664,100155,6,3,1,20,1,5,1,2,2.33,3.33,2.5,2.5,3.25,0
874,100290,4,3,1,21,1,6,1,4,4,4,4,4,4,0
21695,100178,6,3,2,7,1,7,2,4,3,4,4,3.5,3.25,0
1702,100289,5,1,1,16,0,5,2,3.5,3,3,3,4,3.5,0
5879,100155,6,3,2,12,1,8,2,4,4,4,4,4,4,1
20534,100175,11,4,1,30,0,5,2,5,2.33,4.67,3.5,4,4,1
6470,100250,6,3,1,16,1,5,2,5,5,5,5,5,5,1
7496,100223,6,3,2,21,1,7,4,3,2.67,3.67,3.5,3.5,3.25,0
27682,100200,11,4,2,21,1,7,3,5,5,5,5,4.5,5,0
11026,100128,3,2,1,21,1,6,3,4,5,4,4,4.5,3.5,1
16229,100237,6,3,1,1,1,4,2,4,2.67,4,2.5,3,3.5,0
30015,100065,6,3,2,5,1,8,2,5,4,5,5,5,5,1
37574,100270,3,2,3,25,1,6,2,4,4,4,4,4,4,0
9016,100187,5,1,2,33,1,6,1,5,3,4,4,2.5,3.75,1
11513,100068,6,3,1,34,1,6,1,5,5,5,5,5,5,1
34496,100211,6,3,2,21,1,7,4,5,4.67,4.33,4.5,5,4.75,1
34857,100172,6,3,3,5,0,8,4,4.5,3.33,5,3,4,4.25,1
10211,100155,6,3,1,21,1,3,1,5,5,5,5,5,5,1
14698,100246,3,2,1,12,1,2,2,4,3,4,3,4,4,0
2803,100136,6,3,2,5,0,3,4,4,3.67,3,3,4,4.5,0
34665,100238,6,3,1,7,1,2,2,5,5,5,5,5,5,1
37033,100104,5,1,1,16,1,7,1,4,4.67,5,5,4.5,5,1
23144,100078,11,4,1,16,1,5,4,4.5,4.33,3.67,3.5,5,4.75,1
23283,100129,6,3,3,24,1,7,2,4,4,4,4,4,4,0
2059,100118,3,2,2,12,1,8,2,5,5,5,5,5,5,1
14672,100281,6,3,3,21,1,8,4,5,3.67,5,2.5,4,4.5,1
2323,100272,6,3,1,9,1,6,2,4.5,3.33,3.67,2,4,3.25,0
36710,100243,11,4,2,9,1,5,2,4,3.67,5,5,4.5,4.75,1
29417,100084,6,3,2,21,1,8,2,5,5,5,5,5,5,1
23123,100307,11,4,2,17,1,7,2,5,3,3,2.5,3.5,3.75,0
28380,100272,6,3,3,29,1,8,2,4,4,4,4,4,4,0
30759,100157,6,3,1,12,0,8,1,3,3,3,3,3.5,3.5,0
13233,100169,3,2,2,21,1,8,2,5,5,5,5,5,5,1
7085,100281,6,3,2,21,1,7,4,2.5,2.33,3.33,1,2.5,1.5,0
26997,100091,6,3,2,12,1,8,4,5,5,5,5,5,5,1
1508,100168,6,3,2,21,1,8,1,5,5,5,5,5,5,1
30005,100175,11,4,2,7,1,5,1,5,5,5,5,5,4.5,1
32412,100300,4,3,3,21,1,7,2,5,5,5,5,5,5,1
29028,100164,11,4,3,9,1,8,2,4.5,2.67,2,3,3.5,2,0
7136,100222,6,3,1,21,1,6,2,5,4.67,5,5,5,5,1
24937,100085,3,2,2,20,0,2,1,4.5,3.67,4,4,4,4,0
21167,100252,6,3,1,5,0,7,2,5,3,4,3.5,4,3.5,1
21486,100307,11,4,1,36,1,1,4,5,5,5,5,5,5,1
10692,100092,6,3,3,21,1,8,2,3,2.33,3,3,2.5,2.5,0
10931,100084,6,3,3,5,1,8,1,4.5,4,5,4,5,4.25,1
6581,100155,6,3,3,22,1,8,3,5,5,5,5,5,5,1
12100,100209,10,5,3,25,1,8,3,4,3.67,4.67,5,3.5,3,0
10459,100201,3,2,3,12,1,8,2,5,5,5,5,5,5,1
17255,100307,11,4,1,2,1,6,1,4,5,5,5,4,5,1
3055,100304,5,1,1,16,1,5,2,5,5,5,5,5,5,1
12819,100197,6,3,3,2,1,8,3,5,5,5,5,5,5,1
956,100155,6,3,3,21,1,8,2,5,5,5,5,5,5,1
12312,100155,6,3,1,21,0,6,1,3.5,4,4,2.5,3.5,4,1
5677,100143,11,4,3,25,1,6,2,4.5,3.33,4.67,3.5,3,4,0
14851,100272,6,3,3,25,1,8,2,4,3.67,2.33,2,3.5,3.75,0
6702,100155,6,3,1,12,1,3,4,5,5,5,5,5,5,1
36913,100254,2,3,1,29,0,3,2,4.5,3.67,4.67,3.5,3.5,3.75,0
22122,100209,10,5,3,21,1,8,2,3,3,4,3,3.5,3.5,0
28865,100078,11,4,3,23,1,8,2,4,4,3,4.5,4,3.5,1
15946,100268,6,3,1,16,1,3,2,5,5,5,5,5,5,0
18438,100145,1,4,2,21,1,4,4,4,3.33,4,5,4.5,3.75,0
21583,100262,3,2,1,21,1,4,2,3.5,3.67,3.33,2.5,3.5,3.25,0
18454,100171,6,3,1,16,1,4,1,5,5,5,5,5,5,0
15806,100252,6,3,2,20,1,7,2,5,5,5,5,5,5,1
30573,100164,11,4,3,5,0,8,2,4.5,4,4,2,3,3.5,1
31602,100254,2,3,1,32,1,7,2,4.5,4.67,5,4.5,4.5,4.75,1
3514,100097,6,3,3,21,1,8,2,4,4,4,4,4,4,0
13679,100135,6,3,1,1,1,7,1,5,5,5,5,5,5,1
20330,100168,6,3,3,5,0,8,1,5,3,3.33,4,3,3.75,1
1949,100197,6,3,2,1,1,7,1,3,4,4,3.5,3.5,4.25,0
16899,100272,6,3,3,21,1,8,1,4.5,3.33,4.33,3.5,4.5,3.75,0
17202,100181,3,2,1,12,1,5,1,5,5,5,3,5,4,1
2036,100197,6,3,3,7,1,8,4,3,3.67,2.67,3,3,1.75,0
8761,100133,3,2,3,25,1,7,2,4,3.33,3,2,3,4,0
4619,100146,2,3,3,21,1,8,2,5,5,5,5,5,4.5,1
11053,100211,6,3,2,21,1,8,2,4.5,5,4.33,5,4,4,1
14051,100078,11,4,1,7,0,2,1,4,3.67,5,4,5,4.25,0
11059,100240,5,1,2,33,1,6,2,4,3,4,4,4.5,4.5,1
18256,100183,4,3,2,28,1,1,1,4.5,4.33,4,5,5,5,0
24879,100281,6,3,3,5,1,8,3,3.5,3,4,3,3.5,3.75,0
22016,100307,11,4,2,20,1,6,2,5,5,5,5,5,5,1
19493,100198,6,3,1,28,1,6,1,5,5,5,5,5,5,1
19365,100207,4,3,3,21,1,8,2,4,2.67,3.67,3,2.5,4,0
29050,100220,6,3,3,28,1,8,3,5,4.67,5,5,4,5,1
5026,100197,6,3,1,2,1,7,3,5,5,5,5,5,5,1
7830,100281,6,3,3,21,1,7,4,3.5,3.67,4,4,3.5,4.5,1
38077,100243,11,4,1,13,0,4,4,4.5,4,4,5,4.5,4.25,1
24282,100164,11,4,2,21,1,8,2,4,4,4.33,4,4,4,1
37877,100099,4,3,2,8,1,3,2,5,5,5,5,5,5,1
9396,100238,6,3,2,5,1,5,2,5,4,4.33,4,4.5,4.5,1
16736,100152,5,1,1,21,1,5,2,4.5,4,5,5,4.5,4.75,1
3034,100256,9,2,3,16,1,6,2,4,3.33,4,4,4,4.25,0
13377,100124,6,3,1,28,1,4,1,3.5,4,4,4,4,4,0
14502,100220,6,3,2,21,1,7,3,3,4,5,4,4.5,3.25,0
25212,100134,6,3,1,24,1,5,1,3,5,5,5,5,5,0
31117,100207,4,3,1,16,1,5,2,5,5,5,5,3.5,5,1
2225,100078,11,4,1,37,1,5,2,4,3.67,2,2.5,3.5,2.75,0
7495,100078,11,4,1,26,0,6,2,4,4,1,2,3.5,3.25,0
24184,100274,4,3,2,5,1,6,4,4,3,3,3.5,3,2.75,0
8306,100068,6,3,1,9,1,4,2,4,4,3.67,4,4,4,1
39374,100180,6,3,3,25,1,3,2,5,5,5,5,5,5,1
6661,100155,6,3,1,18,1,6,2,5,5,5,5,5,5,1
37018,100214,6,3,2,6,1,3,1,4.5,4.33,5,4.5,4.5,5,1
9909,100178,6,3,2,13,1,6,2,5,4.33,5,5,5,5,1
17433,100203,3,2,1,9,1,7,2,4.5,4.67,3.33,5,5,4.5,1
24598,100157,6,3,1,21,1,3,1,5,4.33,5,4,4,4.5,0
22589,100099,4,3,1,12,1,4,2,5,4.33,5,5,4.5,5,1
1479,100146,2,3,1,24,1,6,2,5,3,4,4.5,4.5,4.25,0
32124,100160,1,4,2,12,1,7,2,2,2,3.33,3,3,3.75,0
6834,100199,6,3,1,28,1,5,2,4,4,3,3,4.5,4.5,0
14033,100252,6,3,3,13,1,7,2,4,4,4.33,3.5,4.5,4,0
34450,100207,4,3,3,12,1,6,2,5,5,5,5,5,5,1
11237,100259,6,3,1,5,0,2,2,5,3,3,3,4,4.5,0
24637,100255,6,3,1,16,1,4,2,2.5,2.33,4.33,4,4.5,4,1
38549,100237,6,3,1,16,1,4,1,5,5,5,5,5,5,1
13480,100160,1,4,1,21,1,4,2,4.5,3.33,3.67,3.5,5,4.25,1
27952,100168,6,3,3,18,1,5,1,4,4.67,5,4.5,4,4.5,1
28591,100164,11,4,3,13,1,8,2,3.5,5,5,4,5,4.25,1
10304,100164,11,4,2,27,1,8,2,5,5,5,5,5,5,1
6688,100129,6,3,2,13,1,6,3,5,5,5,5,5,5,1
28712,100118,3,2,1,1,1,4,2,5,3.67,3.33,3,3.5,4,0
532,100167,5,1,3,28,1,6,1,3.5,3.67,5,4,4,4.75,0
413,100270,3,2,2,21,1,4,2,4,3.67,4,3,4.5,4.25,0
11528,100172,6,3,1,29,1,7,4,4.5,3.67,3,2.5,4,3.5,0
13594,100137,3,2,1,6,1,5,2,4,3.33,4,4,4,3.75,0
7182,100168,6,3,2,23,1,8,2,4,4.67,5,4.5,4.5,5,1
34332,100147,6,3,2,29,1,4,3,5,5,5,5,5,5,0
23484,100129,6,3,3,12,1,8,2,4,3.33,3,4,4.5,4.25,1
35049,100283,3,2,1,21,1,5,4,5,4,5,4,5,4.75,0
25083,100227,6,3,1,28,1,5,2,5,5,5,4.5,4.5,4.75,1
30579,100211,6,3,3,13,0,5,4,2,2,3,2,3.5,2.5,0
30661,100252,6,3,3,21,1,7,2,4,5,2.33,3,4,4,1
3356,100210,6,3,2,20,1,8,2,4,3,4,4,3.5,3.25,0
27084,100157,6,3,3,21,1,6,2,5,4,4.33,4,5,4.5,0
31980,100174,4,3,1,7,1,8,2,4,3.67,4,4,4,4,0
1032,100097,6,3,2,21,1,8,2,5,5,5,5,5,5,1
25471,100164,11,4,1,21,1,5,4,5,4.67,5,5,5,4.75,1
576,100097,6,3,2,25,1,8,2,4,4.33,3.67,4,4.5,3.75,0
38832,100175,11,4,1,25,1,5,1,3.5,4,3.67,4,4,4,0
31596,100235,4,3,2,21,1,8,2,5,5,5,5,5,5,1
29638,100087,6,3,2,5,1,7,4,4,4,4,4,4,4,0
39814,100278,6,3,3,21,1,8,2,5,3.67,3.67,3,3,3.5,0
4613,100298,4,3,1,16,1,3,2,5,3.67,5,4,4,4.75,0
6785,100078,11,4,3,8,1,8,3,3,4,5,3,3,4,0
29218,100100,11,4,1,12,1,6,2,1.5,1.67,5,2,3,3.75,0
29594,100237,6,3,1,19,0,4,1,3.5,4,3.33,4,4,4,0
24856,100212,6,3,2,6,1,8,2,4.5,3.33,4,4.5,4,4.75,1
39573,100189,6,3,1,21,1,2,2,5,5,5,5,5,5,1
16922,100237,6,3,1,20,0,5,4,5,5,5,5,5,5,1
37853,100211,6,3,3,7,1,8,2,4,4.33,4.67,4.5,5,4.5,1
29900,100212,6,3,3,21,1,8,2,5,5,5,5,5,5,1
17961,100068,6,3,3,12,1,5,2,4,3,5,3,3,3,1
23975,100287,3,2,2,7,0,1,2,4.5,3.33,3,3,4,3.5,1
35544,100068,6,3,1,21,1,6,4,5,4.67,4,4.5,4.5,4.5,0
6203,100065,6,3,1,21,1,4,2,4,3,3.67,4,4,4.25,0
25543,100174,4,3,2,21,1,3,2,4.5,3.67,4,4.5,4.5,4.25,0
